"","created_at","title","description","petition_status"
"41",2021-04-13 03:44:03,"United Nations: Women should be given all of the rights","<p>We are all entitled to human rights. These include the right to live free from violence and discrimination; to enjoy the highest attainable standard of physical and mental health; to be educated; to own property; to vote; and to earn an equal wage.</p>
<p>But across the globe many women and girls still face discrimination on the basis of sex and gender. Gender inequality underpins many problems which disproportionately affect women and girls, such as domestic and sexual violence, lower pay, lack of access to education, and inadequate healthcare.</p>
<p>For many years women’s rights movements have fought hard to address this inequality, campaigning to change laws or taking to the streets to demand their rights are respected. And new movements have flourished in the digital age, such as the #MeToo campaign which highlights the prevalence of gender-based violence and sexual harassment.</p>
<p>During the 19th and early 20th centuries people began to agitate for the right of women to vote. In 1893 New Zealand became the first country to give women the right to vote on a national level. This movement grew to spread all around the world, and thanks to the efforts of everyone involved in this struggle, today women's suffrage is a right under the Convention on the Elimination of All Forms of Discrimination Against Women (1979).</p>
<p>However, despite these developments there are still many places around the world where it is very difficult for women to exercise this right.  Take Syria for example, where women have been effectively cut off from political engagement, including the ongoing peace process.</p>
<p>In Pakistan, although voting is a constitutional right, in some areas women have been effectively prohibited from voting due to powerful figures in their communities using patriarchal local customs to bar them from going to the polls.When looking at women’s rights it’s helpful to have an understanding of feminism. At its core, feminism is the belief that women are entitled to political, economic, and social equality. Feminism is committed to ensuring women can fully enjoy their rights on an equal footing with men.</p>
<p> </p>","active"
"42",2019-11-29 15:09:25,"Indian Government, Narendra Modi, President of India, Supreme Court , Indian Judiciary System. : We want Justice for Priyanka Reddy. (Who was raped and burned alive in Hyderabad)","<p><strong>""JUSTICE FOR PRIYANKA REDDY"" </strong></p>
<p><strong>NOTE : IF YOU WANT JOIN US FOR A PROTEST IN KOLKATA EMAIL US AT : protestagainstrapecampaign@gmail.com. </strong></p>
<p>This is too much. ENOUGH is ENOUGH.Enough of rape culture in India. We want justice. We the Youth has the power of social media now. Share your opinions on this matter on every social media platforms you use and<strong> please use the hastag #justiceforpriyankareddy</strong>.</p>
<p>We can make ranu mondal trending, we can make tiktok jokers trending but now its time to make something trending for a greater cause, for the <strong>""safety of the womans in our country"".</strong> We the youth of India can bring the change in India. We can force our Government to make new punishable laws against this kind of brutual rapists. Please i beg you.</p>
<p>Again i am saying this is too much now. And please don't type RIP this time. She will not rest in peace until and unless this brutual rapist gets the capital punishment for this brutual act. </p>
<p><strong>Join hands and sign this petition to get Justice for Priyanka Reddy.</strong> Share this to those who want to join this movement . This time we the youth of India, will change India.</p>
<p>Let us show our Government the power of the youth.<br><br>And lastly i want to quote :<br><br><em>""Abhi jiska khoon na khaula, khoon nahi wo paani hai, jo desh ke kaam na aaye, wo bekaar jawani hai"".</em><br>(By Bhagat Singh)</p>","active"
"43",2021-04-11 02:47:39,"Education Minister: Cancel Board Exams 2021","<p>In the pandemic situation of COVID-19 , Students who are appearing for 2021 Boards haven't completed their syllabus yet Schools &amp; Coaching Centers are closed and it is not possible to understand everything in video lectures On Internet<br>I really don't understand what is the problem with our Education System and also with Our Education Minister. Why are they not listening to us. It's time to support Students becoz everyone knows what was the condition of them in COVID period.</p>
<p>#cancelboardexams2021</p>
<p>#StudentWantsJustice</p>
<p>#ExamCancelHoga</p>
<p>#NoExams</p>","active"
"44",2021-04-08 05:30:23,"Finance Minister and Prime Minister: Stop imposing tax on Bonus and Reward amount for corporate professionals.","<p>Corporate professionals are already burdened with taxes. Stop imposing tax on Bonus and reward amount atleast. Give some relief to already impacted due to tax burdens and other commitments. </p>","active"
"45",2020-08-28 12:54:29,"Education minister and supreme Court: Neet and jee exam must be postponed as our life is more important than  career.","<p>I am NEET aspirant who had applied for appear in NEET 2020 exam.</p>
<p>But due to covid 19 I have taken decision not to appear in NEET 2020 exam.</p>","active"
"46",2020-12-01 04:39:03,"Local people : Stop animal torture!!!","<p>Why are humans increasing, and humanity decreasing? Why is animal torturing getting common nowadays? Animals have their own lives and family as well, don't they? Even they have feelings, and even they feel hurt. Don't they have the right to live peacefully, or just enjoy their lives? Animals like dogs and other domestic animals are being beaten to death, they are burnt alive, they are being boiled alive, and even thrown from buildings. Why are we doing it? Because we enjoy it? Why are we hurting other living beings just for our happiness and enjoyment? The people around are not taking any action towards this serious problem and the news channels don't bother to showcase these affairs on TV, but they have time to cover other nonsense. People are not stopping the ones who are harassing the animals, they are just standing and watching. Are they lacking will power to go and approach that person, or they are too lazy for that or what? I am sure that even they would be feeling that pain and knowing that this is wrong and it has to be stopped, but here in India and maybe in other countries, people like to enjoy even serious matters and just stand and do nothing. Let us sign this petition and make it successful so that these poor animals get their freedom from our cruelty, and stop this torture once it for all. </p>","active"
"47",2020-06-17 12:50:33,"Public: Anti-rape movement","<p>As I respect women , the whole country , every single male should respect every female of any colour , shape , size , community , etc . As from last some years there in so many cases of rapes ,  see the percentage of rape is increasing yearly , this is the major problem of this world . They just show off that we are respecting women , but there is no such thing . </p>
<p>If they really respect female than the percentage of rape did't increase day by day ? Some rapist didn't even get shamed ? They raped the female children's who is even unalbe to speak , what did they get from them ? If the higher authority of the world or we talk about specifically our country , the higher authority must take a very strict decision that the rapist dont even think of being stand in front of female and see them by their cheap eyes . </p>
<p>The best solution is that they didn't get the chance to live in this world , where they are also came out from the female's womb . They didn't respect their GOD who gave birth to them , then why did they get chance to live . Just encounter such rapist !!! </p>
<p> </p>","active"
"48",2020-03-02 14:26:11,"Government of India, The president of India, The Parliament of India, : Self defense training mandatory for each girl in each school across India","<p>Looking at the scenario around us n the increase of gruesome rape n abuse cases against women n especially our little girls, we as responsible citizens of India need to take the  right step in the right direction n for me this is the first right step in that direction. If you all agree with me then it's my humble request to all you empathetic n responsible citizens to join me in this petition n spread this so far that we take an oath not to sit down in peace till we make it happen. It could after all be anyone's daughter or sister or wife, please. ��</p>","active"
"49",2021-03-16 09:52:35,"Nobita: Allow Doraemon to sleep in the room instead of the Almirah!","<p>Doraemon sleeps in the Almirah. Kya kare wo mar jaae, uski koi feeling ni hai? He should also be allowed to sleep in the Room if he wants to!</p>","active"
"50",2020-09-12 11:34:42,"Pathologist: Equality in pay for Pathologist","<p>As a MD pathologist with 5 years experience I have seen, many pathologist agreeing to many strict rules of coroporate labs, like more hours of work, low salary etc..But if we think like the way that these labs cannot work without Pathologist..so we should make them to get agree to our demands instead of falling in their demands. They need us without help of pathologist they can't run.<br>But some of us compromises on low salary and etc ..<br>I think it's time to change the rules of coroporate labs.</p>
<p>Pathologist should also get procedure fees for FNAC and bone marrow aspiration.</p>","active"
"51",2020-06-19 16:02:19,"Womens Commission: Ban Writer Arpita Sarkar from Bengali Literature & Publishing Houses","<p><strong>Arpita</strong> Sarkar, a new aged Bengali writer has cheated readers by falsifying her stories through his husband. Not only that, she did injustice to an innocent daughter and mother depriving their husband indulging in an extramarital affair. She snatched a lot of money and used the man in loathsome and heinous possible way to satisfy her materialistic needs.</p>
<p>Shet also tortures her husband to write her stories forcefully. She built a well known status in social media and using her influence,she wanted to ruin the helpless lady. Which is anlan unapologetic crime. The littleilittle girl,from daughter of the lady Piyali Singha Roy,s from nerve disease and the mother is fighting for justice. Therefore we want to ban Arpita Sarkar from Bengali literature so that no publisher can publish her books as a writer needs to be socially responsible. Pls sign this petition for the right of Piyali Singha Roy, the deprived wife of Mr Brati Shankar Singha Roy. This struggle is for truth, justice and the purity of Bengali literature. </p>
<p>Pls sign this petition for the right of Piyali Singha Roy, the deprived wife of Mr Brati Shankar Singha Roy. This struggle is for truth, justice and the purity of Bengali literature. </p>
<p> </p>
<p> </p>","active"
"52",2020-09-21 10:02:07,"People for the Ethical Treatment of Animals (PETA): Freedom For Animals and Let Them Live The Way They Want To Live.","<p>For many years animals are used for circuses, zoo, transportation, racing etc. Government banned the use wild animals in Circuses back in the year 2017 but there are still other animals like Elephants, Horses, Hippopotamuses, Dogs, Camels. Which are used for entertainment purpose. They are not entertainers. They can't speak or express their feelings vocally that doesn't mean you can do whatever you want with them. They are here on Planet Earth just like us. If they are not interfering in your life so why are you? </p>
<p>In this year of pandemic when I was at home doing nothing just eating, sleeping and watching movies or doing other stuff to pass the time. But after some months I felt really exhausted. I got bored. Even when I was at home my urge to get out of the house was big. I wanted to go out, to take fresh breathe outside, to roam, to meet people but I couldn't. Then I saw something on Facebook that showed how animals feels at the zoo. You can feed them, you can watch them, you can spend some time with them but after that what? They also want to go outside, to feel free from the closed doors, to experience that the world is bigger than the four walls, roam around the jungle, to enjoy the beauty of nature. Nature is same for all of us. Let them live free.</p>
<p>Animals like Horse, Bullock, Camels, Donkeys and Yaks are used for transportation. Elephants are also used in Indian forests on tiger safaris. These animals are forced to carry the burden. Now imagine carrying something heavy on the back and roaming during the hot day where temperature is 25°C to 45 °C and it's rising every year. Their body structure is different but they do feel the heat. They are thirsty, dehydrated, they feel the pain but still they carry the load. </p>
<p>Now talking about the dairy farms, India is the highest producer of milk in the world and there are 150 million dairy farmers. People use milk in their day to day life but they don't know the reality of some of the dairy farms that what they do with cows and buffaloes to produce the daily limit of milk. Google it, you can see the results. Here are some links where you can find it by yourself :</p>
<p><a href=""https://thecsrjournal.in/csr-reality-dairy-industry-cows/"" rel=""nofollow"">https://thecsrjournal.in/csr-reality-dairy-industry-cows/</a>  </p>
<p><a href=""http://action.petaindia.com/ea-action/action?ea.campaign.id=2856&amp;ea.client.id=111#:~:text=PETA%20India"" rel=""nofollow"">http://action.petaindia.com/ea-action/action?ea.campaign.id=2856&amp;ea.client.id=111#:~:text=PETA%20India's%20recent%20undercover%20investigation,steadily%20replacing%20small%20family%20farms.&amp;text=One%20dairy%20owner%20reported%20that%20half%20the%20calves%20die%20shortly%20after%20birth</a></p>
<p>I don't understand why they are doing this. If you want to make money from them then take the responsibility too. Why are you acting such inhumanly with them. Why can't they just produce it in the natural way? What will happen at the most? your production will be low but at least the cows and buffaloes will be in good condition. You take care of them, they will take care of you. It's simple. </p>
<p>I have one last point for the viewers. I was doing the same like you, Ignoring the reality of the world. It's like a truth, you can ignore it but you can't hide it. I need your help. This is not just for me. As you understand the depth of this message. At least you can do is to sign this petition and wait for the action. Other way in your daily life whenever you see something wrong is happening with any of the animals try to help. This is a big matter, but I'm taking a small step because the only motto I have is to live and let them live.</p>","active"
"53",2021-04-20 00:40:57,"Berkshire Health Systems: Petition for an Adolescent Psychiatric Unit in Berkshire County","<p>Every year there are over a million suicide attempts in the United States. Suicide has become the SECOND leading cause of death for teenagers, only worsened by Covid-19. Rates of suicidal thinking and behavior are up by 25 percent or more since 2019 and there is a dramatic rise in teens coming into the emergency room*.</p>
<p>Yet, it is reported that adolescents and young adults have the worst access to health care than all other age groups**. Here in Berkshire County, there are NO inpatient or day treatment hospital programs available for teens - anywhere in our county - for when they become suicidal or try to take their lives. On top of that many adolescent psychiatric hospital services in other areas of Massachusetts have closed their doors. Children are being sent home from the emergency room after near fatal suicide attempts because there are just no beds available across the state. </p>
<p>We are in imminent need of adolescent psychiatric hospital services in Berkshire County to save the lives of our young people. Our county has been under-resourced for too long and there are so many families here in daily crisis. All adolescents need and deserve access to comprehensive care to address the unique challenges they face. We are responsible for getting our teens the help they need to stay alive. </p>
<p>These services have been available to adults - but NOT teens for decades. Berkshire Health Systems have the resources to open an adolescent wing at BMC. The Jones II unit is currently closed and could be re-opened to provide inpatient services for teens if we - as a community - speak up.</p>
<p>If we work together we can make change. Please join me in petitioning for adolescent psychiatric hospital services in Berkshire County.</p>
<p>Sincerely, Marney Schorr, Founding Director of Arts in Recovery for Youth (AIRY), a no cost youth suicide prevention program in Pittsfield MA.</p>
<p>*<a href=""https://www.nytimes.com/2021/02/23/health/coronavirus-mental-health-teens.html"" rel=""nofollow"">https://www.nytimes.com/2021/02/23/health/coronavirus-mental-health-teens.html</a></p>
<p>** <a href=""https://jamanetwork.com/journals/jamapediatrics/fullarticle/349013"" rel=""nofollow"">https://jamanetwork.com/journals/jamapediatrics/fullarticle/349013</a></p>
<p><a href=""https://www.airyedu.com"" rel=""nofollow"">https://www.airyedu.com</a></p>
<p><a href=""https://www.change.org/HelpOurTeens"" rel=""nofollow"">https://www.change.org/HelpOurTeens</a></p>
<p> </p>","active"
"54",2019-07-22 12:14:02,"Canara Bank: Save People of SRS Royal Hills Sector 87 Faridabad #SOs","<p>Fraud by Builder (SRS Real Estate) Project- SRS Royal Hills Sector-87, Greater Faridabad.</p>
<p>Regarding Canara bank symbolic possession notice over our society on SERFESI act.</p>
<p>DRT allows to Canara Bank recover Money from resident.</p>
<p>DRT &amp; Canara Bank ignore the order of High Court (Haryana)</p>
<p>1200+ family living in their flat &amp; fighting to register their home.</p>
<p> Parties:            1) SRS Real Estate Ltd             - Builder</p>
<p>                        2) Canara Bank                       - Financer of Builder</p>
<p>                        3) Loan Holders                      - Residents (Homebuyers)</p>
<p>                        4) Bank (Lander)                     - Financer to Residents (Homebuyers)</p>
<p>                        5) DRT                                     - Debt Recovery Tribunal (Remedy applied by</p>
<p>                                                                         Canara Bank)</p>
<p>                        6) NCDRC                               - Residents applied remedy against Builder</p>
<p>                        7) NCLT                                  - National Company Law Tribunal (Remedy applied</p>
<p>                                                                        by Canara Bank)</p>
<p>we would like to Inform you about the background and facts of our issue and update you with the necessary development in our case. We are expecting your help, involvement and necessary guidance to deal the matter</p>
<p>Background of the Issue: -</p>
<p>Movement (Sequence) of the Case: </p>
<p>SRS Royal Hills Sec 87 , Faridabad -121003 project started in 2007-2008 &amp; 1500 + family (5000 resident) book their dream home in this project from 2007 -2015 .</p>
<p>Till 2015/16 whole project (100%) was sold.</p>
<p>In 2014 builder (SRS Real Estate) start giving possession of flat tower by tower after receiving 100% amount from buyer. Buyer were happy to take passion of their dream home but they ask about the flat registry to builder but builder told first you shift we will send you details about registry of flat with in a month but after several follow up builder don’t turn up &amp; till 2015/16 whole society flat handover to buyer &amp; in this 2 years only 200 registry done buy the builder .</p>
<p>Buyer rigorously follow to register their flat nothing turns up, even buyer also done the agitation at builder office at that time builder did false commitment again &amp; ask the time of one month.</p>
<p> In 2017 some of the buyer create association- Fights for Rights &amp; filled the case on 32 points in NCDRC (National Consumer Forum) now 2 year passed but not a single decision done in NCRDC, we are still struggling in NCRDC.</p>
<p>On dated 21-nov-2017 Canara bank paste one notice of symbolic possession of flat in SARFAESI act on our society gate.</p>
<p>Then we enquire about it then we get to know builder take the loan from Canara bank around 100 CR &amp; after summing up of interest current amount is 104 cr. (on dated Nov-2017).</p>
<p>We get to know builder fail to repay the 100 cr. Loan to Canara bank &amp; Bank try to recover money from innocent buyers.</p>
<p>We all homebuyers were unaware of this fact and had approached at DRT for the stay in our case, and accordingly, we also approach to lander bank (HDFC, SBI, LIC, Axis &amp; other) as they have provided the load on this property to safe guard the interest of their loan amount but mostly bank dose not show any interest .</p>
<p>In between one more group of buyers more to High court (Haryana) &amp; after several hearing High court order advised all the homebuyers to present the representation to Canara bank with the payment detail along with all necessary documents. Accordingly, Canara Bank has to pass the speaking order after accepting the representation and by giving opportunity of personal hearing within 3 months of the order date.</p>
<p>We all residents has represented and got the Personal hearing from Canara Bank. Canara bank during our PH (Physical Hearing) had asked/ verify some basic questions/detail from us. In response to the PH we have shown them the NIL Balance ledger confirming that all dues were paid and no balance is outstanding against us.</p>
<p> </p>
<p>On dated 11-July-2019 DRT order to Canara bank to recover money by allotting the recovery Notice (OA/4382/2017).</p>
<p>Without hearing buyers appeal DRT Chandigarh issue the order in favor of Canara bank. </p>
<p>Canara bank also move to NCLT for recovery of their money.</p>
<p>While the above proceeding was under progress, on 01 June Canara bank has taken stand to move in NCLT against Builder under section 9 of NCLT. Date has been fixed for 21-08-2019. Apart from Canara Bank two more case booked against SRS Real Estate Ltd and fixed on 30-07-2019 &amp; 20-08-2019 under section 7 of NCLT.</p>
<p> </p>
<p>In between Builder arrested by Haryana police &amp; send the all management team beheld the bars for forgery in several cases, Fabricate document &amp; many more cases.</p>
<p>Please find the link of all case details on SRS.</p>
<p><a href=""http://www.ExposeCC.info"" rel=""nofollow"">http://www.ExposeCC.info</a></p>
<p> </p>
<p>Now we innocent buyer on the verge of losing our Dream Home as no one is there to hear our voice, builder in Jail, Court give the order in favor of Bank &amp; Govt. is deaf &amp; dumb at last we decided to take help of media.</p>
<p>We 5000 resident in hope media will help us so that Deaf &amp; Dump govt. wake up &amp; help 5000 residents.</p>
<p> </p>
<p>Our Finding / Observation in the Case: -</p>
<p>1.      Bank has verified all the documents and done proper due diligence and financed us.  </p>
<p>2.      We are bonafide buyers of the property and our rights are protected under TP Act (Transfer of Property)</p>
<p>3.      We have obtained the NIL balance ledger from the builder and taken the possession.</p>
<p>4.      We all are either staying or have given the property at rent.</p>
<p>5.      It seems Carnara bank and builder has done something wrong or they have not verified all the facts at their end as money given by buyers need to go in escrow account but that amount not go in Escrow account this can be done without handshake between bank &amp; builder.</p>
<p>6.      We are approaching all remedy which are available to us.</p>
<p>7.      We all residents are at risk of being homeless.</p>
<p>8.      We are requesting your involvement and help from you.</p>
<p> </p>
<p><br> </p>
<p> </p>
<p>Humble Request / Prayer</p>
<p> </p>
<p>It is our humble request to you that We all are middle income people who have put all their hard-earned money under this project and duly paying the EMI on time to bank.</p>
<p>Bank has vested interest in our property, and it is duty of bank also to safeguard our as well as your interest but all of the bank is failed on this. We prayer to you kindly help us in this matter in fighting along with you.</p>
<p>We hope you will understand our genuine concerns and help us from this harassment as soon as possible.</p>","active"
"55",2021-04-13 06:26:57,"Election Commision of India: Ban all political rallies and meetings in West Bengal to bring down the spread of COVID-19","<p>Hi,</p>
<p>I am a student of class <strong>XII</strong> and will write my <strong>Board examination</strong> in the coming month of May. But, lately, the problem that we, that is, I and my fellow students are facing is the <strong>rising number of COVID-19</strong> cases across India.</p>
<p>The rising number of COVID-19 cases has caused many students to panic and sign and write petitions to the respective <strong>examination Boards to postpone or cancel</strong> the Board exams. However, that <em>does not </em>seem to be a <em>good solution</em>.</p>
<p>In West Bengal, we are currently having our Legislative Assembly elections. Due to these elections, <strong>Political Parties</strong> are holding an innumerable number of rallies and meetings, making innumerable people come in proximity and that too, without maintaining the COVID protocols - <strong>nobody wears a mask</strong> - neither the <em>Politicians</em> nor the <em>commoners</em>.</p>
<p>So, my request is to cancel or ban any such further meetings or rallies by <strong>ANY </strong>Political Party, to ensure the safety of us, the students. Help us fight against the rising tide of COVID cases, as holding meetings and rallies maintaining COVID protocols is practically impossible.</p>
<ol>
<li>We, the students want to give our final school examinations with less fear and more security, so a reducing graph of COVID-19 cases will brighten the chances of such a happening.</li>
<li>Not that the disease cannot spread from anywhere else other than political rallies, but they seem to be like <em>super-spreaders</em>.</li>
<li>If a ban is put on such <em>meeting or rallies</em>, they will ensure a <strong>lower rate of spread</strong> of COVID-19 cases.</li>
<li>The ban will also ensure smoother traffic on roads, as such meetings often block a part of the road or the whole of a road, which is really very painful especially during office hours</li>
<li>The ban will probably also ensure a <em>calmer </em>environment for the remaining four phases of the election to be held in West Bengal, as such meetings often offer <em>provocation </em>to <em>some </em>people, and things get agitated.</li>
<li>We must keep in mind that, we <strong>DO NOT</strong> have as many <em>hospital beds</em> in the whole country to cope with the rising number of cases.</li>
<li>We are already seeing the highest number of daily cases since March 2020, and I hope it is a <em>warning signal 'loud' enough</em> to make every one of us <em>alert</em> of the <strong>consequences</strong>.</li>
</ol>
<p><strong>""So please, oh please, we beg, we pray,""</strong> <em>(-Roald Dahl, 'Television')</em>, to stop further political rallies, to be held by any political parties, irrespective of their role in this Assembly Elections.</p>
<p><strong>Hoping for a positive response from your end</strong>.</p>","active"
"56",2021-04-05 19:31:39,"Sharad Arvind Bobde: Women Freedom from Burka and veil","<p>Ban the Burqa/ veil and Let women ""Breath""</p>
<p>women identity is their ""fundamental right""</p>
<p>* IPC_section 96 to 106..*   Right of Private Defence </p>
<p>Till the day women continue to don the burqa or ghoonghat, they will be treated as sexual objects, as slaves dedicated to men. Governments and societies cannot allow this</p>
<p>The far-right in India have consistently demanded a ban on triple talaq, a uniform civil code, and doing away with Sharia law. The ones who should have been at the forefront of making these demands have never done so: liberals. Liberals are not blinded by religion; they are often not even religious. They believe in human rights, freedom of speech, women’s equality, truth and compassion. But when it comes to Muslim women, they are silent.</p>
<p>In many parts of the world, including India, Muslim women are not always allowed to go to colleges and universities, or to take a job, are often married off young and are forced to cover themselves in the burqa. For the crime of being born female, they are systematically deprived of equal rights in everything—from marriage to divorce, child custody and inheritance.</p>
<p>The burqa signifies this oppression and that is why this debate, most recently sparked off by the ban on the all-enveloping veil that Sri Lanka has imposed after the Easter Sunday bombings, is so important.</p>
<p>India’s far-right has been vocal about the burqa. This is not because they are sympathetic to the cause of Muslim women. In their propaganda, Muslims are not modern, they contribute in no way to the betterment of society, they imprison women behind the veil, they are not fit to be citizens of India, they are capable of only committing bad deeds, violence and bloodshed are endemic to them, their chief problems lie in their religion, in their religious texts and laws. I wish for Muslims to become secular and enlightened and move towards establishing a modern, equal society. My position is always against any kind of religious fanaticism, including the Hindu kind.</p>
<p>Any talk about a ban on the burqa makes liberals as well as many Muslims go into shock. People are saying banning the burqa won’t stop terrorism. I agree it won’t stop terrorism, but it will definitely stop women from being faceless zombies.</p>
<p>Several highly-developed democracies like Belgium, Austria, Bulgaria, Denmark, France, Germany, Ireland, The Netherlands and Norway, with strong human-rights credentials, have banned the burqa either partially or completely. In many countries in West Asia, feminists have raised this demand, too.</p>
<p>The burqa needs to be banned across the globe. Once that is done, Muslim women will be able to move around without having to carry around a mobile prison at all times as punishment for having been born as female.</p>
<p>The women who claim they like wearing the burqa or that it is part of their rights do so because they have been indoctrinated into believing so. There is no question of choice here.</p>
<p>In 2010, an old article of mine on the burqa issue was reprinted in a journal in Karnataka and that, too, without my knowledge. It sparked riots in two cities. Obviously, it was the men who rioted even though the issue at hand was women’s wear. This should tell you all that it is usually men who decide what women should wear. If the burqa is indeed such a blessing, why do men not show interest in donning it?</p>
<p>That women, too, have sexual desires, that they, too, can make advances at a man, these are proven facts.</p>
<p>So if women are expected to keep themselves covered from head to toe, so they don’t end up stoking a man’s desires, then men, too, ought don the burqa to ensure they don’t similarly incite women. But other than thieves, goons, murderers and terrorists, no man will wear the burqa because they feel it will damage their masculinity, like sarees or bangles do.</p>
<p>Let women say, ‘if you cannot control your sexual excitement, that’s your problem not mine. You cannot cover me up because you have a problem. I am not your private property that you will decide for me what I should wear. Where I should go, how far. I will wear kohl if I wish to and if my dark gaze is a problem for you, then don’t glance at me. If your eyes stray regardless and if your manhood causes you too much hardship, then hide your eyes behind a thick blindfold’.</p>
<p>Some are saying that if the burqa is banned in India then the ghoonghat, the veil prevalent among Hindus and other non-Muslims, needs to be banned too. I say: yes.</p>
<p>In the 21st century, men still believe women’s heads, faces and hair have to be covered so that no one other than their husbands can see them—in other words, women are the property of their husbands. Till the day women continue to don the burqa or the ghoonghat, they will continue to be treated as sexual objects, as slaves dedicated to men.</p>
<p>Governments and societies cannot allow this — any more than any other form of human slavery can be tolerated.</p>
<p>I read and experienced about this issue. It is very important for freedom of Women in 21st century.</p>
<p>Right to breath, Fundamental Right of identity, Women right,Human right, right of Equality, right for freedom. </p>
<p> </p>","active"
"57",2021-04-24 13:42:01,"K. J. Somaiya Institute of Management: Please give Merit Ranks for K. J. Somaiya Institute of Management applications 2021","<p>There are many students who have applied for KJSIM, but institute have not yet released wait list ranks. 5 rounds are already over.</p>
<p>Please release the waitlist ranks so that students get some assurity where do they stand!</p>","active"
"58",2020-06-27 05:25:53,"General Manager, South Eastern Railway: We want Dr​.​Robin Karn Murmu back to Adra Divisional Railway Hospital","<p>The divisional HQ i.e., Adra is a small Railway oriented town having one and only Divisional Railway Hospital at Adra where almost no regular doctors are being posted since long. No regular doctor wants to be posted at Adra. Exceptionally  Dr.Robin Karn Murmu was one of the few regular doctor who went on nurturing staff and dependants of Railway employees to a great extent. For such patients who needed better treatments he never hesitated before referring them to tied up hospitals. Now, Dr.Murmu is being transferred to Bondamunda. This is very painful to digest as at Divisional Railway Hospital Adra, Dr.Robin Karn Murmu was the person who interacted, communicated, treated every staff be it Group D or Group C with equal importance. Transfering him from Adra, the Railway staff and its dependants will face alot of problems. We beg to the GM/SER to accept our appeal on humanitarian ground and give us back ""Dr.Murmu"" .. please save us.. �</p>","active"
"59",2020-08-12 18:02:56,"PM of India : LET'S FIGHT RAPE TOGETHER!!","<p>""<strong>40 year old woman, minor daughter gang raped in MP"" - 2nd AUG 2020</strong></p>
<p><strong>""75 year woman allegedly raped brutally in Kerela"" - 4th Aug 2020</strong></p>
<p><strong>""17 year old raped in Uttar Pradesh"" - 6th Aug 2020</strong></p>
<p><strong>These are the most recent cases and it all happened in a week in different states of India.</strong></p>
<p><strong>If it is believed that fault here is of younger gen then why did a 40 or 75 year old become a victim here. Every other girl is so scared to live her dreams.</strong></p>
<p><strong>WE are not here to blame out Government but to support each other. We are happy to hear that Govt. is giving harsher punishments but here the act has already been done. So we need to prevent it so as to end it. It is the FEAR of being <em>caught and not being spared that will help here. </em></strong></p>
<p><strong><em>We Demand a system which ensures that no one can manipulate any higher authority to get out of the clutches of law and will provide better monitoring and surveillance, hence making a change.</em></strong></p>
<p><strong><em>SO SIGN IT UP AND LET'S TRY IT AT OUR LEVEL.</em></strong></p>","active"
